DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-05_beckymcclain8_638,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
638 - DIABETES W CC,100281,MEMORIAL HOSPITAL WEST,703 N FLAMINGO RD,PEMBROKE PINES,FL,33028,FL - Miami,25,35163.68,6318.84,4371.44,417,USCGeocoder,46.8986,1,4.1,,,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,105750.968675452,ArealInterpolationGeometricCentroid,Parcel,98.9349112426036,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,26.0121152864668,-80.3102927601438,Relaxed,TwoThousandTen,55775,4992,22744,92236,0,33100,2012,2,1103.09,011,12,1,ResidenceStreetAddress,703,,N,FLAMINGO,RD,,,,,,PEMBROKE PINES,FL,33028,,,,,,,,,,,,,,,,,,703,,N,FLAMINGO,RD,,,,,,PEMBROKE PINES,FL,33028,,,,,,,,,,,,703,,N,Flamingo,Rd,,,,PEMBROKE PINES,FL,33082,,,,1006,,,,,,,,105750.97,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,479571,,,,,,0
638 - DIABETES W CC,100284,WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,MIAMI,FL,33155,FL - Miami,28,19225.92,7927.92,7129.64,418,USCGeocoder,234.3601,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,25.747455,-80.3176403,Exact,TwoThousandTen,14412,4992,33124,92158,0,33100,2006,2,0060.02,086,12,1,ResidenceStreetAddress,2500,,SW,75TH,AVE,,,,,,MIAMI,FL,33155,,,,,,,,,,,,,,,,,,2500,,SW,75TH,AVE,,,,,,MIAMI,FL,33155,,,,,,,,,,,,2500,,SW,75TH,AVE,,,,miami,FL,33155,,,,,,,,,,,Miami-Dade,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,5580798,,,,,,0
638 - DIABETES W CC,100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,NAPLES,FL,34119,FL - Fort Myers,19,29409.42,4575,3628.47,419,USCGeocoder,78.1143,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.2139323,-81.7327359,Relaxed,TwoThousandTen,74562,5345,,92301,0,34940,3015,3,0104.16,021,12,1,ResidenceStreetAddress,6101,,,PINE RIDGE,RD,,,,,,NAPLES,FL,34119,,,,,,,,,,,,,,,,,,6101,,,PINE RIDGE,RD,,,,,,NAPLES,FL,34119,,,,,,,,,,,,6101,,,PINE RIDGE,RD,,,,Naples,FL,,,,,,,,,,,,Collier,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2227536,,,,,,0
638 - DIABETES W CC,100287,GOOD SAMARITAN MEDICAL CENTER,1309 N FLAGLER DR,WEST PALM BEACH,FL,33401,FL - Fort Lauderdale,18,28381.16,4981.88,4300.77,420,USCGeocoder,109.3943,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.7251707,-80.0516847,Exact,TwoThousandTen,76600,8960,48424,93614,0,33100,1022,1,0023.00,099,12,1,ResidenceStreetAddress,1309,,N,FLAGLER,DR,,,,,,WEST PALM BEACH,FL,33401,,,,,,,,,,,,,,,,,,1309,,N,FLAGLER,DR,,,,,,WEST PALM BEACH,FL,33401,,,,,,,,,,,,1309,,N,FLAGLER,DR,,,,West Palm Beach,FL,33401,,,,,,,,,,,palm,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,7038519,,,,,,0
638 - DIABETES W CC,100290,VILLAGES REGIONAL HOSPITAL THE,1451 EL CAMINO REAL,THE VILLAGES,FL,32159,FL - Orlando,31,16610.64,4333.93,3789.29,421,USCGeocoder,93.7616,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.9504866,-81.9584715,Relaxed,TwoThousandTen,71625,,,93666,1,45540,2027,2,9108.00,119,12,1,ResidenceStreetAddress,1451,,,EL CAMINO REAL,,,,,,,THE VILLAGES,FL,32159,,,,,,,,,,,,,,,,,,1451,,,EL CAMINO REAL,,,,,,,THE VILLAGES,FL,32159,,,,,,,,,,,,1451,,,EL CAMINO REAL,,,,,LADY LAKE,FL,32159,,,,,,,,,,,Sumter,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,10422049,,,,,,0
638 - DIABETES W CC,100296,DOCTORS HOSPITAL INC,5000 UNIVERSITY DR,CORAL GABLES,FL,33146,FL - Miami,11,63150.18,6663.09,5951.63,422,USCGeocoder,93.7594,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,25.7247419,-80.2738958,Relaxed,TwoThousandTen,14250,4992,33124,92158,0,33100,1000,1,9803.00,086,12,1,ResidenceStreetAddress,5000,,,UNIVERSITY,DR,,,,,,CORAL GABLES,FL,33146,,,,,,,,,,,,,,,,,,5000,,,UNIVERSITY,DR,,,,,,CORAL GABLES,FL,33146,,,,,,,,,,,,5000,,,UNIVERSITY,DR,,,,miami,FL,33146,,,,,,,,,,,Miami-Dade,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,5545261,,,,,,0
638 - DIABETES W CC,100302,ST CLOUD REGIONAL MEDICAL CENTER,2906 17TH STREET,SAINT CLOUD,FL,34769,FL - Orlando,11,27082.36,4453.9,3636.45,423,USCGeocoder,593.7577,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.243535,-81.3028719,Relaxed,TwoThousandTen,,2020,,93029,0,36740,1108,1,0432.03,097,12,1,ResidenceStreetAddress,2906,,,17TH,ST,,,,,,SAINT CLOUD,FL,34769,,,,,,,,,,,,,,,,,,2906,,,17TH,ST,,,,,,SAINT CLOUD,FL,34769,,,,,,,,,,,,2906,,,17TH,ST,,,,osceola,FL,34769,,,,,,,,,,,Osceola,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,6751287,,,,,,0
638 - DIABETES W CC,100307,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,4201 BELFORT RD,JACKSONVILLE,FL,32216,FL - Jacksonville,19,17529.78,4385.63,3483.89,424,USCGeocoder,109.3649,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.25396,-81.5816553,Exact,TwoThousandTen,35000,3600,,91642,0,27260,3015,3,0159.23,031,12,1,ResidenceStreetAddress,4201,,,BELFORT,RD,,,,,,JACKSONVILLE,FL,32216,,,,,,,,,,,,,,,,,,4201,,,BELFORT,RD,,,,,,JACKSONVILLE,FL,32216,,,,,,,,,,,,4201,,,BELFORT,RD,,,,JACKSONVILLE,FL,32216,,,,,,,,,,,Duval,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2725243,,,,,,0
638 - DIABETES W CC,110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,GA - Atlanta,28,14094.67,4918.71,3962.85,425,USCGeocoder,93.7386,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.7889411,-84.9846333,Exact,TwoThousandTen,,0120,,90864,0,19140,3056,3,0005.02,313,13,1,ResidenceStreetAddress,1200,,,MEMORIAL,DR,,,,,,DALTON,GA,30720,,,,,,,,,,,,,,,,,,1200,,,MEMORIAL,DR,,,,,,DALTON,GA,30720,,,,,,,,,,,,1200,,,MEMORIAL,DR,,,,DALTON,GA,30720,,,,,,,,,,,Whitfield,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,4002978,,,,,,0
638 - DIABETES W CC,110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,GA - Macon,21,11118.47,5495.04,4213.66,426,USCGeocoder,93.7444,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2365.47739863838,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.8871215965569,-84.3336586884928,Exact,TwoThousandTen,76168,,,93006,1,45580,2022,2,0104.00,293,13,1,ResidenceStreetAddress,801,,W,GORDON,ST,,,,,,THOMASTON,GA,30286,,,,,,,,,,,,,,,,,,801,,W,GORDON,ST,,,,,,THOMASTON,GA,30286,,,,,,,,,,,,601-831,,W,Gordon,St,,,,Thomaston,GA,30286,,,,,,,,,,Thomaston,Upson,2365.48,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,639486287,,,,,,0
638 - DIABETES W CC,110003,SATILLA REGIONAL MEDICAL CENTER,410 DARLING AVENUE,WAYCROSS,GA,31501,FL - Jacksonville,27,16237.59,4689.33,3941.77,427,USCGeocoder,93.7424,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6077.02894229884,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.2242364357988,-82.347488782863,Exact,TwoThousandTen,80956,,,93294,1,48180,5020,5,9505.00,299,13,1,ResidenceStreetAddress,410,,,DARLING,AVE,,,,,,WAYCROSS,GA,31501,,,,,,,,,,,,,,,,,,410,,,DARLING,AVE,,,,,,WAYCROSS,GA,31501,,,,,,,,,,,,400-498,,,Darling,Ave,,,,Waycross,GA,31501,,,,,,,,,,Waycross,Ware,6077.03,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,5236941,,,,,,0
638 - DIABETES W CC,110004,HUTCHESON MEDICAL CENTER,100 GROSS CRESCENT,FORT OGLETHORPE,GA,30742,TN - Chattanooga,20,16192.55,4969.5,4379.2,428,USCGeocoder,93.7689,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2031.25474107167,LinearInterpolationAddressRange,StreetSegment,72.7810650887574,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.9467426025877,-85.2537747882842,Relaxed;Soundex,TwoThousandTen,30956,1560,,91230,0,16860,5008,5,0307.00,047,13,1,ResidenceStreetAddress,100,,,GROSS,CRES,,,,,,FORT OGLETHORPE,GA,30742,,,,,,,,,,,,,,,,,,100,,,GROSS,CRES,,,,,,FORT OGLETHORPE,GA,30742,,,,,,,,,,,,104-100,,,Gracie,Ave,,,,Fort Oglethorpe,GA,30742,,,,,,,,,,Fort Oglethorpe-Lakeview,Catoosa,2031.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66690214,,,,,,0
638 - DIABETES W CC,110006,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,GA - Atlanta,17,16383.41,5038.47,4378.23,429,USCGeocoder,78.1359,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.9470304,-83.4051944,Exact,TwoThousandTen,03440,0500,,90138,0,12020,2026,2,0009.00,059,13,1,ResidenceStreetAddress,1230,,,BAXTER,ST,,,,,,ATHENS,GA,30606,,,,,,,,,,,,,,,,,,1230,,,BAXTER,ST,,,,,,ATHENS,GA,30606,,,,,,,,,,,,1230,,,BAXTER,ST,,,,Athens,GA,30606,,,,,,,,,,,Clarke,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,971277,,,,,,0
638 - DIABETES W CC,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,GA - Albany,27,17402.59,5760.29,4684.18,430,USCGeocoder,140.6153,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,13932.2110838104,LinearInterpolationAddressRange,StreetSegment,94.8224852071006,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.5902926674393,-84.1565593499949,Relaxed;Soundex,TwoThousandTen,01052,0120,,93312,0,10500,1169,1,0113.00,095,13,1,ResidenceStreetAddress,417,,,THIRD,AVE,,,,,,ALBANY,GA,31703,,,,,,,,,,,,,,,,,,417,,,THIRD,AVE,,,,,,ALBANY,GA,31703,,,,,,,,,,,,401-499,,,3rd,Ave,W,,,Albany,GA,31701,,,,,,,,,,West Dougherty,Dougherty,13932.21,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,84324266,,,,,,0
638 - DIABETES W CC,110008,NORTHSIDE HOSPITAL CHEROKEE,201 HOSPITAL ROAD,CANTON,GA,30114,GA - Atlanta,11,30147,4765.54,3945.18,431,USCGeocoder,62.5165,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.2454213,-84.4906031,Exact,TwoThousandTen,,0120,,90540,0,12060,3024,3,0904.00,057,13,1,ResidenceStreetAddress,201,,,HOSPITAL,RD,,,,,,CANTON,GA,30114,,,,,,,,,,,,,,,,,,201,,,HOSPITAL,RD,,,,,,CANTON,GA,30114,,,,,,,,,,,,201,,,HOSPITAL,RD,,,,Canton,GA,30114,,,,,,,,,,,Cherokee,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,518830,,,,,,0
638 - DIABETES W CC,110010,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD NE,ATLANTA,GA,30322,GA - Atlanta,28,14421.39,6314.28,5659.89,432,USCGeocoder,109.3879,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1461.31511201523,LinearInterpolationAddressRange,StreetSegment,84.6153846153846,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.7921503722283,-84.3210352144313,Relaxed,TwoThousandTen,24264,0520,,90150,0,12060,2022,2,0224.02,089,13,1,ResidenceStreetAddress,1364,,,CLIFTON,RD,NE,,,,,ATLANTA,GA,30322,,,,,,,,,,,,,,,,,,1364,,,CLIFTON,RD,NE,,,,,ATLANTA,GA,30322,,,,,,,,,,,,1342-1400,,,Clifton,Rd,NE,,,Druid Hills,GA,30329,,,,,,,,,,Atlanta-Decatur,DeKalb,1461.32,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,619383824,,,,,,0
638 - DIABETES W CC,110016,WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,LAGRANGE,GA,30240,GA - Atlanta,26,12224.07,4986.53,4045.42,433,USCGeocoder,93.7765,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,585.159504675539,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.0322275069518,-85.0679663223302,Exact,TwoThousandTen,,0120,,91674,1,29300,2065,2,9603.00,285,13,1,ResidenceStreetAddress,1514,,,VERNON,RD,,,,,,LAGRANGE,GA,30240,,,,,,,,,,,,,,,,,,1514,,,VERNON,RD,,,,,,LAGRANGE,GA,30240,,,,,,,,,,,,1698-1400,,,Vernon,Rd,,,,LaGrange,GA,30240,,,,,,,,,,LaGrange,Troup,585.16,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1772667,,,,,,0
638 - DIABETES W CC,110018,NEWTON MEDICAL CENTER,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,GA - Atlanta,17,10334,4873.29,4214.94,434,USCGeocoder,93.7515,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.6014467,-83.8477925,Relaxed,TwoThousandTen,20064,0520,,90804,0,12060,4004,4,1003.00,217,13,1,ResidenceStreetAddress,5126,,,HOSPITAL,DR,NE,,,,,COVINGTON,GA,30014,,,,,,,,,,,,,,,,,,5126,,,HOSPITAL,DR,NE,,,,,COVINGTON,GA,30014,,,,,,,,,,,,5126,,,HOSPITAL,DR,,,,Covington,GA,30014,,,,,,,,,,,Newton,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,3563083,,,,,,0
638 - DIABETES W CC,110023,GORDON HOSPITAL,1035 RED BUD ROAD,CALHOUN,GA,30701,GA - Rome,14,21117.14,5731.35,3892,435,USCGeocoder,62.5055,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,94.9704142011834,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.5102284,-84.9262992,Relaxed,TwoThousandTen,,0120,,90504,1,15660,2014,2,9704.00,129,13,1,ResidenceStreetAddress,1035,,,RED BUD,RD,,,,,,CALHOUN,GA,30701,,,,,,,,,,,,,,,,,,1035,,,RED BUD,RD,,,,,,CALHOUN,GA,30701,,,,,,,,,,,,1035,,,RED BUD,RD,NE,,,CALHOUN,GA,,,,,,,,,,,,Gordon,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2503089,,,,,,0
638 - DIABETES W CC,110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,SAVANNAH,GA,31412,GA - Savannah,32,18508.71,4981.34,4060.06,436,USCGeocoder,156.2729,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,32.076536,-81.091718,Relaxed;Soundex,TwoThousandTen,69000,7520,,92712,0,42340,2033,2,0003.00,051,13,5,POBoxZIP,5353,,,REYNOLDS,ST,,,,,,SAVANNAH,GA,31412,,,,,,,,,,,,,,,,,,5353,,,REYNOLDS,ST,,,,,,SAVANNAH,GA,31412,,,,,,,,,,,,,,,,,,,,Savannah,GA,31412,,,,,,,,,,,Chatham,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,,,ZIPCode,31412,,,,,,0
638 - DIABETES W CC,110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,BRUNSWICK,GA,31520,FL - Jacksonville,15,12033.53,6064.73,5124.06,437,USCGeocoder,140.6055,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5754.38570311951,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.1736993152986,-81.4832514400361,Exact,TwoThousandTen,11560,,,90444,0,15260,2056,2,0005.01,127,13,1,ResidenceStreetAddress,2415,,,PARKWOOD,DR,,,,,,BRUNSWICK,GA,31520,,,,,,,,,,,,,,,,,,2415,,,PARKWOOD,DR,,,,,,BRUNSWICK,GA,31520,,,,,,,,,,,,2499-2401,,,Parkwood,Dr,,,,Brunswick,GA,31520,,,,,,,,,,Brunswick,Glynn,5754.39,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,9134016,,,,,,0
638 - DIABETES W CC,110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,AUGUSTA,GA,30901,GA - Augusta,37,16623.35,5112.89,4180.75,438,USCGeocoder,109.3714,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.4706068,-81.9826608,Exact,TwoThousandTen,04204,0600,,90168,0,12260,1069,1,0110.00,245,13,1,ResidenceStreetAddress,1350,,,WALTON,WAY,,,,,,AUGUSTA,GA,30901,,,,,,,,,,,,,,,,,,1350,,,WALTON,WAY,,,,,,AUGUSTA,GA,30901,,,,,,,,,,,,1350,,,WALTON,WAY,,,,Augusta,GA,30901,,,,,,,,,,,Richmond,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,3736218,,,,,,0
638 - DIABETES W CC,110029,NORTHEAST GEORGIA MEDICAL CENTER INC,743 SPRING STREET,GAINESVILLE,GA,30501,GA - Atlanta,35,16723,5403.94,3746.34,439,USCGeocoder,31.2277,1,4.1,,,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,56087.3689653124,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,34.3033479437662,-83.8173667731546,Exact,TwoThousandTen,,0120,,91260,0,23580,3001,3,0008.00,139,13,1,ResidenceStreetAddress,743,,,SPRING,ST,,,,,,GAINESVILLE,GA,30501,,,,,,,,,,,,,,,,,,743,,,SPRING,ST,,,,,,GAINESVILLE,GA,30501,,,,,,,,,,,,743,,,SPRING,ST,,,,Gainesville,GA,30501,,,,3715,,,,,,,HALL,56087.37,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,1027959,,,,,,0
638 - DIABETES W CC,110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,GA - Atlanta,15,35118.86,5053.53,4305.26,440,USCGeocoder,109.3746,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1733.70167109673,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.1989108692725,-84.7932531592616,Exact,TwoThousandTen,,0120,,90570,0,12060,2091,2,9604.01,015,13,1,ResidenceStreetAddress,960,,,JOE FRANK HARRIS,PKWY,,,,,,CARTERSVILLE,GA,30120,,,,,,,,,,,,,,,,,,960,,,JOE FRANK HARRIS,PKWY,,,,,,CARTERSVILLE,GA,30120,,,,,,,,,,,,960-954,,,Joe Frank Harris,Pkwy,,,,Cartersville,GA,30120,,,,,,,,,,Cartersville,Bartow,1733.7,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,639502165,,,,,,0
638 - DIABETES W CC,110031,SPALDING REGIONAL MEDICAL CENTER,601 SOUTH 8TH STREET,GRIFFIN,GA,30223,GA - Atlanta,15,21500.4,5604.13,4109.2,441,USCGeocoder,124.9866,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1112.63141058281,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.2397162521571,-84.2657879053132,Relaxed,TwoThousandTen,35324,0520,,91380,0,12060,3001,3,1612.00,255,13,1,ResidenceStreetAddress,601,,S,8TH,ST,,,,,,GRIFFIN,GA,30223,,,,,,,,,,,,,,,,,,601,,S,8TH,ST,,,,,,GRIFFIN,GA,30223,,,,,,,,,,,,617-601,,S,8th,St,,,,Griffin,GA,30224,,,,,,,,,,Griffin,Spalding,1112.63,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,23761329,,,,,,0
638 - DIABETES W CC,110034,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS,1120 15TH STREET,AUGUSTA,GA,30912,GA - Augusta,21,13957.33,7558.23,6703.38,442,USCGeocoder,156.2295,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9349112426036,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.4707752,-81.9898242,Relaxed;Soundex,TwoThousandTen,04204,0600,,90168,0,12260,1079,1,0110.00,245,13,1,ResidenceStreetAddress,1120,,,15TH,ST,,,,,,AUGUSTA,GA,30912,,,,,,,,,,,,,,,,,,1120,,,15TH,ST,,,,,,AUGUSTA,GA,30912,,,,,,,,,,,,1120,,,FIFTEENTH,ST,,,,Augusta,GA,30901,,,,,,,,,,,Richmond,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,3691341,,,,,,0
