DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_beckykelley8_897,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,CT,6360,CT - Hartford,13,16588.92,4427.07,3563.69,116,USCGeocoder,31.2415,1,4.1,,,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,81844.9496058747,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,41.5423247037311,-72.0899680051539,Relaxed;Soundex,TwoThousandTen,56200,5520,,56270,0,35980,3009,3,6965.00,011,09,1,ResidenceStreetAddress,326,,,WASHINGTON,ST,,,,,,NORWICH,CT,06360,,,,,,,,,,,,,,,,,,326,,,WASHINGTON,ST,,,,,,NORWICH,CT,06360,,,,,,,,,,,,326,,,WASHINGTON ST,,,,,Norwich,CT,,,,,,,,,,,,NEW LONDON,81844.95,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,142122,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,6102,CT - Hartford,19,26554.63,6478.31,5766.73,117,USCGeocoder,62.4779,1,4.1,,,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,ExactParcelCentroid,,,1,41.7542871116952,-72.6798870625088,Relaxed,TwoThousandTen,37000,3280,,37070,0,25540,2002,2,5003.00,003,09,1,ResidenceStreetAddress,80,,,SEYMOUR,ST,,,,,,HARTFORD,CT,06102,,,,,,,,,,,,,,,,,,80,,,SEYMOUR,ST,,,,,,HARTFORD,CT,06102,,,,,,,,,,,,80,,,SEYMOUR,ST,,,,Hartford,CT,06106,,,,,,,,,,,,0,Meters,,SOURCE_COUNTY_PARCEL_DATA,2016,,,ParcelID,35166,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,6606,CT - Bridgeport,24,24168.29,5384.41,4302.58,118,USCGeocoder,140.6107,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,AddressPoint,,,1,41.201193,-73.2018166,Relaxed,TwoThousandTen,08000,5602,,08070,0,14860,1007,1,2572.00,001,09,1,ResidenceStreetAddress,2800,,,MAIN,ST,,,,,,BRIDGEPORT,CT,06606,,,,,,,,,,,,,,,,,,2800,,,MAIN,ST,,,,,,BRIDGEPORT,CT,06606,,,,,,,,,,,,2800,,,MAIN,ST,,,,bridgeport,CT,,,,,,,,,,,,Fairfield,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1030,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70031,GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,CT,6418,CT - New Haven,12,18332.91,5003.08,4345.41,119,USCGeocoder,124.996,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3428.70950927271,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,41.3339348890895,-73.0862548745683,Exact,TwoThousandTen,19480,5602,,19550,0,35300,1007,1,1202.00,009,09,1,ResidenceStreetAddress,130,,,DIVISION,ST,,,,,,DERBY,CT,06418,,,,,,,,,,,,,,,,,,130,,,DIVISION,ST,,,,,,DERBY,CT,06418,,,,,,,,,,,,148-190,,,Division,St,,,,Derby,CT,06418,,,,,,,,,,Derby,New Haven,3428.71,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,3734033,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,6810,CT - New Haven,28,15655.57,5362.21,4048.32,120,USCGeocoder,62.4996,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1558.66588977305,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,41.4059093416216,-73.4467312509035,Exact,TwoThousandTen,18430,5602,,18500,0,14860,3000,3,2103.00,001,09,1,ResidenceStreetAddress,24,,,HOSPITAL,AVE,,,,,,DANBURY,CT,06810,,,,,,,,,,,,,,,,,,24,,,HOSPITAL,AVE,,,,,,DANBURY,CT,06810,,,,,,,,,,,,24-46,,,Hospital,Ave,,,,Danbury,CT,06810,,,,,,,,,,Danbury,Fairfield,1558.67,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,618517246,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70034,NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NORWALK,CT,6856,CT - Bridgeport,22,27365.04,5865.77,4041.81,121,USCGeocoder,78.1126,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3144.06086189812,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,41.1102037343226,-73.4234061901523,Relaxed,TwoThousandTen,55990,5602,,56060,0,14860,3008,3,0438.00,001,09,1,ResidenceStreetAddress,24,,,STEVENS,ST,,,,,,NORWALK,CT,06856,,,,,,,,,,,,,,,,,,24,,,STEVENS,ST,,,,,,NORWALK,CT,06856,,,,,,,,,,,,2-98,,,Stevens,St,,,,Norwalk,CT,06850,,,,,,,,,,Norwalk,Fairfield,3144.06,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,3249908,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70035,HOSPITAL OF CENTRAL CONNECTICUT THE,100 GRAND STREET,NEW BRITAIN,CT,6050,CT - Hartford,53,19963.77,5357.77,4321.5,122,USCGeocoder,93.7349,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,41.6614746,-72.7865987,Relaxed,TwoThousandTen,50370,3280,,50440,0,25540,1003,1,4157.00,003,09,1,ResidenceStreetAddress,100,,,GRAND,ST,,,,,,NEW BRITAIN,CT,06050,,,,,,,,,,,,,,,,,,100,,,GRAND,ST,,,,,,NEW BRITAIN,CT,06050,,,,,,,,,,,,100,,,GRAND,ST,,,,New Britain,CT,06052,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,407089,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,70036,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,CT,6032,CT - Hartford,15,15234.33,7491.93,6542.06,123,USCGeocoder,93.7292,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,41.7341822,-72.7937906,Exact,TwoThousandTen,,1122,,27600,0,25540,1038,1,4601.00,003,09,1,ResidenceStreetAddress,263,,,FARMINGTON,AVE,,,,,,FARMINGTON,CT,06032,,,,,,,,,,,,,,,,,,263,,,FARMINGTON,AVE,,,,,,FARMINGTON,CT,06032,,,,,,,,,,,,263,,,FARMINGTON,AVE,,,,Farmington,CT,06032,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,866384,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,80001,CHRISTIANA CARE HEALTH SERVICES INC.,4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,DE - Wilmington,52,13855.65,5091.28,4273.98,124,USCGeocoder,93.7577,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,39.687931,-75.6679739,Relaxed,TwoThousandTen,,2190,48864,93848,0,37980,2022,2,0138.00,003,10,1,ResidenceStreetAddress,4755,,,OGLETOWN STANTON,RD,,,,,,NEWARK,DE,19718,,,,,,,,,,,,,,,,,,4755,,,OGLETOWN STANTON,RD,,,,,,NEWARK,DE,19718,,,,,,,,,,,,4755,,,OGLETOWN STANTON,RD,,,,NEWARK,DE,19713,,,,,,,,,,,New Castle,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,284356,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,21,15086.19,4094.28,3535.14,125,USCGeocoder,62.5057,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,39.1506291,-75.5235219,Relaxed,TwoThousandTen,,2190,,90740,0,20100,1069,1,0413.00,001,10,1,ResidenceStreetAddress,640,,S,STATE,ST,,,,,,DOVER,DE,19901,,,,,,,,,,,,,,,,,,640,,S,STATE,ST,,,,,,DOVER,DE,19901,,,,,,,,,,,,640,,S,STATE,ST,,,,Dover,DE,19904,,,,,,,,,,,Kent,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,60720,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,DC - Washington,13,53471.84,6586.69,5388.53,126,USCGeocoder,296.8171,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.9015842,-77.0503385,Exact,TwoThousandTen,50000,8872,47894,50000,0,47900,4006,4,0056.00,001,11,1,ResidenceStreetAddress,900,,,23RD,ST,NW,,,,,WASHINGTON,DC,20037,,,,,,,,,,,,,,,,,,900,,,23RD,ST,NW,,,,,WASHINGTON,DC,20037,,,,,,,,,,,,900,,,23RD,ST,NW,,,WASHINGTON,DC,20037,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,68351,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,90003,HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,WASHINGTON,DC,20060,DC - Washington,17,18727.52,8875.64,8211.64,127,USCGeocoder,359.3631,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.9178103,-77.0209227,Exact,TwoThousandTen,50000,8872,47894,50000,0,47900,2012,2,0034.00,001,11,1,ResidenceStreetAddress,2041,,,GEORGIA,AVE,NW,,,,,WASHINGTON,DC,20060,,,,,,,,,,,,,,,,,,2041,,,GEORGIA,AVE,NW,,,,,WASHINGTON,DC,20060,,,,,,,,,,,,2041,,,GEORGIA,AVE,NW,,,WASHINGTON,DC,20060,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,15323,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,90006,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DC,20017,DC - Washington,33,5934.21,5447.45,4544.24,128,USCGeocoder,265.614,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.9440239,-76.9904815,Exact,TwoThousandTen,50000,8872,47894,50000,0,47900,2001,2,0095.04,001,11,1,ResidenceStreetAddress,1150,,,VARNUM,ST,NE,,,,,WASHINGTON,DC,20017,,,,,,,,,,,,,,,,,,1150,,,VARNUM,ST,NE,,,,,WASHINGTON,DC,20017,,,,,,,,,,,,1150,,,VARNUM,ST,NE,,,WASHINGTON,DC,20017,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,87308,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,90011,WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,DC - Washington,17,21257.41,5912.58,5389.29,129,USCGeocoder,328.1119,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.9295501,-77.0163429,Exact,TwoThousandTen,50000,8872,47894,50000,0,47900,1024,1,0023.02,001,11,1,ResidenceStreetAddress,110,,,IRVING,ST,NW,,,,,WASHINGTON,DC,20010,,,,,,,,,,,,,,,,,,110,,,IRVING,ST,NW,,,,,WASHINGTON,DC,20010,,,,,,,,,,,,110,,,IRVING,ST,NW,,,WASHINGTON,DC,20010,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,97124,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100001,SHANDS JACKSONVILLE MEDICAL CENTER,655 W 8TH ST,JACKSONVILLE,FL,32209,FL - Jacksonville,32,17580.71,5783.56,5083.06,130,USCGeocoder,203.1246,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.3491124260355,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.3485128,-81.6653198,Relaxed,TwoThousandTen,35000,3600,,91646,0,27260,1002,1,0016.00,031,12,1,ResidenceStreetAddress,655,,W,8TH,ST,,,,,,JACKSONVILLE,FL,32209,,,,,,,,,,,,,,,,,,655,,W,8TH,ST,,,,,,JACKSONVILLE,FL,32209,,,,,,,,,,,,655,,,8TH,ST,W,,,JACKSONVILLE,FL,32209,,,,,,,,,,,Duval,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2625720,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100006,ORLANDO HEALTH,1414 S KUHL AVE,ORLANDO,FL,32806,FL - Orlando,26,20350.38,4472.8,3564.57,131,USCGeocoder,125.0125,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,95.8579881656805,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.5252888,-81.3784094,Relaxed,TwoThousandTen,,2020,,92522,0,36740,3031,3,0185.00,095,12,1,ResidenceStreetAddress,1414,,S,KUHL,AVE,,,,,,ORLANDO,FL,32806,,,,,,,,,,,,,,,,,,1414,,S,KUHL,AVE,,,,,,ORLANDO,FL,32806,,,,,,,,,,,,1414,,,KUHL,AVE,,,,Orlando,FL,32806,,,,,,,,,,,orange,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,6331656,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,32803,FL - Orlando,96,19275.11,4054.03,3108.47,132,USCGeocoder,109.3997,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.5732512,-81.3697415,Exact,TwoThousandTen,,2020,,92522,0,36740,5023,5,0128.00,095,12,1,ResidenceStreetAddress,601,,E,ROLLINS,ST,,,,,,ORLANDO,FL,32803,,,,,,,,,,,,,,,,,,601,,E,ROLLINS,ST,,,,,,ORLANDO,FL,32803,,,,,,,,,,,,601,,E,ROLLINS,ST,,,,Orlando,FL,32803,,,,,,,,,,,orange,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,6683274,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,FL - Fort Myers,31,12405.09,3688.87,3050.87,133,USCGeocoder,93.7574,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.6284936,-81.8742279,Exact,TwoThousandTen,24125,2700,,91131,0,15980,3019,3,0008.00,071,12,1,ResidenceStreetAddress,2776,,,CLEVELAND,AVE,,,,,,FORT MYERS,FL,33901,,,,,,,,,,,,,,,,,,2776,,,CLEVELAND,AVE,,,,,,FORT MYERS,FL,33901,,,,,,,,,,,,2776,,,CLEVELAND,AVE,,,,FORT MYERS,FL,33901,,,,,,,,,,,Lee,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,4549643,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,FL - Ormond Beach,13,14754.92,3915.07,2962.15,134,USCGeocoder,93.7296,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,29.2010669,-81.0541855,Exact,TwoThousandTen,16525,2020,,90780,0,19660,2045,2,0818.00,127,12,1,ResidenceStreetAddress,303,,N,CLYDE MORRIS,BLVD,,,,,,DAYTONA BEACH,FL,32114,,,,,,,,,,,,,,,,,,303,,N,CLYDE MORRIS,BLVD,,,,,,DAYTONA BEACH,FL,32114,,,,,,,,,,,,303,,N,CLYDE MORRIS,BLVD,,,,DAYTONA BEACH,FL,32114,,,,,,,,,,,Volusia,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,10573839,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,FL,34102,FL - Fort Myers,80,14867.38,3630.77,2854.5,135,USCGeocoder,125.0301,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.1506431,-81.7987201,Relaxed,TwoThousandTen,47625,5345,,92301,0,34940,1028,1,0001.02,021,12,1,ResidenceStreetAddress,350,,,7TH,ST,N,,,,,NAPLES,FL,34102,,,,,,,,,,,,,,,,,,350,,,7TH,ST,N,,,,,NAPLES,FL,34102,,,,,,,,,,,,350,,,7TH,ST,N,,,Naples,FL,,,,,,,,,,,,Collier,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2398240,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100019,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,32901,FL - Orlando,42,19511.21,3526.26,2571.85,136,USCGeocoder,93.7508,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,95.8579881656805,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.0877231,-80.6143186,Relaxed,TwoThousandTen,43975,4900,,92106,0,37340,2019,2,0647.00,009,12,1,ResidenceStreetAddress,1350,,S,HICKORY,ST,,,,,,MELBOURNE,FL,32901,,,,,,,,,,,,,,,,,,1350,,S,HICKORY,ST,,,,,,MELBOURNE,FL,32901,,,,,,,,,,,,1350,,,HICKORY,ST,,,,MELBOURNE,FL,32901,,,,,,,,,,,Brevard,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,442636,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,33136,FL - Miami,25,19612.4,9221,8838.04,137,USCGeocoder,671.8604,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,25.7911243,-80.2120743,Exact,TwoThousandTen,45000,4992,33124,92158,0,33100,1017,1,0030.01,086,12,1,ResidenceStreetAddress,1611,,NW,12TH,AVE,,,,,,MIAMI,FL,33136,,,,,,,,,,,,,,,,,,1611,,NW,12TH,AVE,,,,,,MIAMI,FL,33136,,,,,,,,,,,,1611,,NW,12TH,AVE,,,,miami,FL,33136,,,,,,,,,,,Miami-Dade,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,6013736,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100025,SACRED HEART HOSPITAL,5151 N 9TH AVE,PENSACOLA,FL,32504,FL - Pensacola,11,15761.81,4092.27,3474.81,138,USCGeocoder,187.4893,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,10591.9294413008,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,30.4762909217057,-87.2106260833451,Exact,TwoThousandTen,55925,6080,,92691,0,37860,2001,2,0012.01,033,12,1,ResidenceStreetAddress,5151,,N,9TH,AVE,,,,,,PENSACOLA,FL,32504,,,,,,,,,,,,,,,,,,5151,,N,9TH,AVE,,,,,,PENSACOLA,FL,32504,,,,,,,,,,,,5135-5203,,N,9th,Ave,,,,Pensacola,FL,32504,,,,,,,,,,Pensacola,Escambia,10591.93,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,93307498,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100026,BAY MEDICAL CENTER,615 N BONITA AVE,PANAMA CITY,FL,32401,FL - Panama City,11,17838,3415.81,2495.45,139,USCGeocoder,78.115,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.1596769,-85.6476599,Relaxed,TwoThousandTen,,2020,,92626,0,37460,4032,4,0016.00,005,12,1,ResidenceStreetAddress,615,,N,BONITA,AVE,,,,,,PANAMA CITY,FL,32401,,,,,,,,,,,,,,,,,,615,,N,BONITA,AVE,,,,,,PANAMA CITY,FL,32401,,,,,,,,,,,,615,,N,BONITA,AVE,,,,bay,FL,32401,,,,,,,,,,,Bay,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,197167,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,32796,FL - Orlando,13,11763.69,3439.46,2658.23,140,USCGeocoder,93.7239,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.6298327,-80.8224839,Exact,TwoThousandTen,,2020,,93419,0,37340,1018,1,0604.00,009,12,1,ResidenceStreetAddress,951,,N,WASHINGTON,AVE,,,,,,TITUSVILLE,FL,32796,,,,,,,,,,,,,,,,,,951,,N,WASHINGTON,AVE,,,,,,TITUSVILLE,FL,32796,,,,,,,,,,,,951,,N,WASHINGTON,AVE,,,,TITUSVILLE,FL,32796,,,,,,,,,,,Brevard,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,296009,,,,,,0
